"Winter","mean_TMIN_deviation"
1993,-2.53940227780039
1994,0.833445404318819
1995,-1.80227261589728
1996,-0.22946850296595
1997,1.39503480829233
1998,0.927485139418156
1999,1.21220106831324
2000,-0.834766516210983
2001,2.583114278491
2002,-1.98311088707191
2003,-0.375298931686758
2004,-0.941389032767274
2005,1.20364407981551
2006,0.525498384451269
2007,-1.21214103694992
2008,-1.67251486058184
2009,2.05463745729895
2010,-0.694369165217605
2011,1.49509580515535
2012,0.783114278491004
2013,-2.85662082084674
2014,-2.92946850296595
2015,2.35035896305008
2016,0.815564609616832
2017,-0.225494993032175
2018,-1.77715062217125
2019,0.991806331471136
2020,1.42086262286186
2021,0.0062930864380237
